author,title,rating,ratings,genres,link
Катерина Цвик,"Все ведьмы – стервы, или Темных принцев мы (не) заказывали!",5.0,35,"Ведьмы, Любовное фэнтези, Любовные приключения, Магические академии, Магические миры, Приключенческое фэнтези, Самиздат, Юмористическое фэнтези",https://www.litres.ru/book/katerina-cvik/vse-vedmy-stervy-ili-temnyh-princev-my-ne-zakazyvali-70260643/
Алексей Иванов,Бронепароходы,4.7,291,"Альтернативная история, Гражданская война, Историческая литература, Исторические приключения, Исторические романы, История флота, Россия начала XX века",https://www.litres.ru/book/aleksey-ivanov/broneparohody-69468499/
Лена Обухова,Тринадцатая запись,4.8,1388,"Загадочная гибель, Загадочные события, Мистика, Мистические детективы, Смертельная опасность, Современные детективы, Частное расследование",https://www.litres.ru/book/lena-obuhova/trinadcataya-zapis-68974863/
Аль Джу,Дальше не помню,4.8,125,"Духовные поиски, Контркультура, Магический реализм, Повороты судьбы, Роман-путешествие, Самиздат, Современная русская литература",https://www.litres.ru/book/al-dzhu/dalshe-ne-pomnu-70074112/
Айн Рэнд,Атлант расправил плечи,4.2,7887,"Антиутопия, Зарубежная классика, Литература 20 века, Социальная проза, Спасение мира, Философская проза, Экранизации",https://www.litres.ru/book/ayn-rend/atlant-raspravil-plechi-4236675/
Александра Маринина,Дебютная постановка. Том 2,4.6,1516,"Журналистское расследование, Загадочные убийства, Расследование преступлений, Современные детективы, Тайны прошлого, Частное расследование",https://www.litres.ru/book/aleksandra-marinina/debutnaya-postanovka-tom-2-69654688/
Елена Звездная,Второй шанс. Книга вторая,4.8,619,"Детективное фэнтези, Любовное фэнтези, Любовный треугольник, Первая любовь, Поиск любви, Романтическая любовь, Самиздат, Юмористическое фэнтези",https://www.litres.ru/book/elena-zvezdnaya/vtoroy-shans-kniga-vtoraya-69301723/
Татьяна Серганова,"Травница, или Как выжить среди магов",4.9,1537,"Любовное фэнтези, Любовный треугольник, Магическое фэнтези, Приключенческое фэнтези, Самиздат, Фиктивный брак, Фэнтези про драконов",https://www.litres.ru/book/tatyana-serganova/travnica-ili-kak-vyzhit-sredi-magov-69867394/
Серж Винтеркей,Антидемон. Книга 10,4.7,166,"Боевое фэнтези, Книги про волшебников, Колдовство, Магические способности, Попаданцы, Путешествия во времени, Сражения, Становление героя",https://www.litres.ru/audiobook/serzh-vinterkey/antidemon-kniga-10-70191775/
Патрик Кинг,"Читайте людей как книгу. Как анализировать, понимать и предсказывать эмоции, мысли, намерения и поведение людей",3.8,79,"Зарубежная психология, Межличностные коммуникации, Невербальные сигналы, Психология общения, Саморазвитие / личностный рост, Социальная психология, Техники влияния, Эффективное общение",https://www.litres.ru/book/patrik-king/chitayte-ludey-kak-knigu-kak-analizirovat-ponimat-i-predskazyv-65800953/
